kind,path,shape,dtype,size,num_attrs
dataset,/1a4e,"(488, 256)",float32,124928,0
dataset,/1a4f_chain_id_A,"(141, 256)",float32,36096,0
dataset,/1a4f_chain_id_B,"(146, 256)",float32,37376,0
dataset,/1a4i,"(295, 256)",float32,75520,0
dataset,/1a4j_chain_id_A,"(217, 256)",float32,55552,0
dataset,/1a4j_chain_id_B,"(217, 256)",float32,55552,0
dataset,/1a4k_chain_id_A,"(217, 256)",float32,55552,0
dataset,/1a4k_chain_id_D,"(219, 256)",float32,56064,0
dataset,/1a4m,"(349, 256)",float32,89344,0
dataset,/1a4p,"(92, 256)",float32,23552,0
dataset,/1a4s,"(503, 256)",float32,128768,0
dataset,/1a53,"(247, 256)",float32,63232,0
dataset,/1a56,"(81, 256)",float32,20736,0
dataset,/1a57,"(116, 256)",float32,29696,0
dataset,/1a59,"(377, 256)",float32,96512,0
dataset,/1a5c,"(342, 256)",float32,87552,0
dataset,/1a5f_chain_id_A,"(220, 256)",float32,56320,0
dataset,/1a5f_chain_id_B,"(217, 256)",float32,55552,0
dataset,/1a5i,"(269, 256)",float32,68864,0
dataset,/1a5j,"(110, 256)",float32,28160,0
dataset,/1a5r,"(103, 256)",float32,26368,0
dataset,/1a5t,"(326, 256)",float32,83456,0
dataset,/1a5z,"(318, 256)",float32,81408,0
dataset,/1a62,"(124, 256)",float32,31744,0
dataset,/1a66,"(178, 256)",float32,45568,0
dataset,/1a68,"(87, 256)",float32,22272,0
dataset,/1a6a_chain_id_A,"(176, 256)",float32,45056,0
dataset,/1a6a_chain_id_B,"(187, 256)",float32,47872,0
dataset,/1a6b,"(40, 256)",float32,10240,0
dataset,/1a6c,"(513, 256)",float32,131328,0
dataset,/1a6d_chain_id_A,"(503, 256)",float32,128768,0
dataset,/1a6d_chain_id_B,"(502, 256)",float32,128512,0
dataset,/1a6f,"(113, 256)",float32,28928,0
dataset,/1a6j,"(157, 256)",float32,40192,0
dataset,/1a6m,"(151, 256)",float32,38656,0
dataset,/1a6q,"(367, 256)",float32,93952,0
dataset,/1a6s,"(87, 256)",float32,22272,0
dataset,/1a6t_chain_id_A,"(211, 256)",float32,54016,0
dataset,/1a6t_chain_id_B,"(217, 256)",float32,55552,0
dataset,/1a6y,"(84, 256)",float32,21504,0
dataset,/1a70,"(97, 256)",float32,24832,0
dataset,/1a73,"(162, 256)",float32,41472,0
dataset,/1a75,"(108, 256)",float32,27648,0
dataset,/1a77,"(315, 256)",float32,80640,0
dataset,/1a78,"(134, 256)",float32,34304,0
dataset,/1a79,"(171, 256)",float32,43776,0
dataset,/1a7f,"(29, 256)",float32,7424,0
dataset,/1a7g,"(82, 256)",float32,20992,0
dataset,/1a7h,"(86, 256)",float32,22016,0
dataset,/1a7i,"(60, 256)",float32,15360,0
dataset,/1a7j,"(283, 256)",float32,72448,0
dataset,/1a7m,"(180, 256)",float32,46080,0
dataset,/1a7q_chain_id_A,"(106, 256)",float32,27136,0
dataset,/1a7q_chain_id_B,"(116, 256)",float32,29696,0
dataset,/1a7s,"(225, 256)",float32,57600,0
dataset,/1a7w,"(68, 256)",float32,17408,0
dataset,/1a81,"(254, 256)",float32,65024,0
dataset,/1a87,"(297, 256)",float32,76032,0
dataset,/1a88,"(275, 256)",float32,70400,0
dataset,/1a8d,"(452, 256)",float32,115712,0
dataset,/1a8l,"(226, 256)",float32,57856,0
dataset,/1a8o,"(69, 256)",float32,17664,0
dataset,/1a8p,"(257, 256)",float32,65792,0
dataset,/1a8q,"(274, 256)",float32,70144,0
dataset,/1a8r,"(221, 256)",float32,56576,0
dataset,/1a8s,"(273, 256)",float32,69888,0
dataset,/1a8y,"(339, 256)",float32,86784,0
dataset,/1a99,"(341, 256)",float32,87296,0
dataset,/1a9n_chain_id_D,"(174, 256)",float32,44544,0
dataset,/1a9n_chain_id_E,"(94, 256)",float32,24064,0
dataset,/1a9w_chain_id_A,"(141, 256)",float32,36096,0
dataset,/1a9w_chain_id_B,"(145, 256)",float32,37120,0
dataset,/1a9x_chain_id_A,"(1061, 256)",float32,271616,0
dataset,/1a9x_chain_id_B,"(379, 256)",float32,97024,0
dataset,/1aa7,"(158, 256)",float32,40448,0
dataset,/1aab,"(83, 256)",float32,21248,0
dataset,/1aaf,"(55, 256)",float32,14080,0
dataset,/1aap,"(56, 256)",float32,14336,0
dataset,/1aay,"(85, 256)",float32,21760,0
dataset,/1ab4,"(482, 256)",float32,123392,0
dataset,/1aba,"(87, 256)",float32,22272,0
dataset,/1abr_chain_id_A,"(251, 256)",float32,64256,0
dataset,/1abr_chain_id_B,"(267, 256)",float32,68352,0
dataset,/1abv,"(105, 256)",float32,26880,0
dataset,/1ac5,"(483, 256)",float32,123648,0
dataset,/1ac6,"(112, 256)",float32,28672,0
dataset,/1acc,"(684, 256)",float32,175104,0
dataset,/1acf,"(125, 256)",float32,32000,0
dataset,/1aco,"(753, 256)",float32,192768,0
dataset,/1acw,"(29, 256)",float32,7424,0
dataset,/1acx,"(108, 256)",float32,27648,0
dataset,/1ad0_chain_id_A,"(214, 256)",float32,54784,0
dataset,/1ad0_chain_id_B,"(220, 256)",float32,56320,0
dataset,/1ad1,"(264, 256)",float32,67584,0
dataset,/1ad2,"(224, 256)",float32,57344,0
dataset,/1ad3,"(446, 256)",float32,114176,0
dataset,/1ad9_chain_id_A,"(219, 256)",float32,56064,0
dataset,/1ad9_chain_id_B,"(219, 256)",float32,56064,0
dataset,/1adq_chain_id_A,"(206, 256)",float32,52736,0
dataset,/1adq_chain_id_B,"(217, 256)",float32,55552,0
dataset,/1adq_chain_id_C,"(235, 256)",float32,60160,0
dataset,/1adr,"(76, 256)",float32,19456,0
dataset,/1adt,"(306, 256)",float32,78336,0
dataset,/1adw,"(123, 256)",float32,31488,0
dataset,/1adx,"(40, 256)",float32,10240,0
dataset,/1adz,"(71, 256)",float32,18176,0
dataset,/1ae1,"(258, 256)",float32,66048,0
dataset,/1ae6_chain_id_A,"(219, 256)",float32,56064,0
dataset,/1ae6_chain_id_B,"(218, 256)",float32,55808,0
dataset,/1ae7,"(125, 256)",float32,32000,0
dataset,/1ae9,"(177, 256)",float32,45312,0
dataset,/1aec,"(218, 256)",float32,55808,0
dataset,/1aep,"(153, 256)",float32,39168,0
dataset,/1af5,"(128, 256)",float32,32768,0
dataset,/1af6,"(421, 256)",float32,107776,0
dataset,/1af7,"(274, 256)",float32,70144,0
dataset,/1afi,"(72, 256)",float32,18432,0
dataset,/1afp,"(51, 256)",float32,13056,0
dataset,/1afr,"(345, 256)",float32,88320,0
dataset,/1afs,"(319, 256)",float32,81664,0
dataset,/1afv_chain_id_A,"(151, 256)",float32,38656,0
dataset,/1afv_chain_id_C,"(217, 256)",float32,55552,0
dataset,/1afv_chain_id_D,"(220, 256)",float32,56320,0
dataset,/1afw,"(393, 256)",float32,100608,0
dataset,/1ag6,"(99, 256)",float32,25344,0
dataset,/1ag7,"(34, 256)",float32,8704,0
dataset,/1ag8,"(493, 256)",float32,126208,0
dataset,/1ag9,"(175, 256)",float32,44800,0
dataset,/1agd_chain_id_A,"(276, 256)",float32,70656,0
dataset,/1agd_chain_id_B,"(99, 256)",float32,25344,0
dataset,/1agg,"(48, 256)",float32,12288,0
dataset,/1agi,"(125, 256)",float32,32000,0
dataset,/1agj,"(242, 256)",float32,61952,0
dataset,/1agq,"(98, 256)",float32,25088,0
dataset,/1agr_chain_id_A,"(350, 256)",float32,89600,0
dataset,/1agr_chain_id_C,"(128, 256)",float32,32768,0
dataset,/1agt,"(38, 256)",float32,9728,0
dataset,/1agx,"(331, 256)",float32,84736,0
dataset,/1ah1,"(132, 256)",float32,33792,0
dataset,/1ah4,"(314, 256)",float32,80384,0
dataset,/1ah7,"(245, 256)",float32,62720,0
dataset,/1ah9,"(71, 256)",float32,18176,0
dataset,/1ahc,"(246, 256)",float32,62976,0
dataset,/1ahd,"(68, 256)",float32,17408,0
dataset,/1ahl,"(49, 256)",float32,12544,0
dataset,/1aho,"(64, 256)",float32,16384,0
dataset,/1ahs,"(126, 256)",float32,32256,0
dataset,/1ai1_chain_id_A,"(215, 256)",float32,55040,0
dataset,/1ai1_chain_id_B,"(234, 256)",float32,59904,0
dataset,/1aie,"(31, 256)",float32,7936,0
dataset,/1aih,"(170, 256)",float32,43520,0
dataset,/1ail,"(70, 256)",float32,17920,0
dataset,/1aip_chain_id_A,"(380, 256)",float32,97280,0
dataset,/1aip_chain_id_C,"(195, 256)",float32,49920,0
dataset,/1ais_chain_id_C,"(181, 256)",float32,46336,0
dataset,/1ais_chain_id_D,"(193, 256)",float32,49408,0
dataset,/1aiw,"(62, 256)",float32,15872,0
dataset,/1aj7_chain_id_A,"(214, 256)",float32,54784,0
dataset,/1aj7_chain_id_B,"(217, 256)",float32,55552,0
dataset,/1aj8,"(371, 256)",float32,94976,0
dataset,/1ajj,"(37, 256)",float32,9472,0
dataset,/1ajk,"(214, 256)",float32,54784,0
dataset,/1ajo,"(214, 256)",float32,54784,0
dataset,/1ajs,"(412, 256)",float32,105472,0
dataset,/1ajw,"(145, 256)",float32,37120,0
dataset,/1ajz,"(282, 256)",float32,72192,0
dataset,/1ak0,"(264, 256)",float32,67584,0
dataset,/1ak2,"(220, 256)",float32,56320,0
dataset,/1ak7,"(174, 256)",float32,44544,0
dataset,/1akh_chain_id_C,"(49, 256)",float32,12544,0
dataset,/1akh_chain_id_D,"(78, 256)",float32,19968,0
dataset,/1akj_chain_id_A,"(276, 256)",float32,70656,0
dataset,/1akj_chain_id_B,"(98, 256)",float32,25088,0
dataset,/1akj_chain_id_D,"(114, 256)",float32,29184,0
dataset,/1ako,"(268, 256)",float32,68608,0
dataset,/1akp,"(114, 256)",float32,29184,0
dataset,/1aky,"(218, 256)",float32,55808,0
dataset,/1ala,"(316, 256)",float32,80896,0
dataset,/1alc,"(122, 256)",float32,31232,0
dataset,/1all_chain_id_A,"(162, 256)",float32,41472,0
dataset,/1all_chain_id_B,"(164, 256)",float32,41984,0
dataset,/1aln,"(294, 256)",float32,75264,0
dataset,/1alu,"(162, 256)",float32,41472,0
dataset,/1alv,"(173, 256)",float32,44288,0
dataset,/1aly,"(146, 256)",float32,37376,0
dataset,/1am2,"(185, 256)",float32,47360,0
dataset,/1am5,"(326, 256)",float32,83456,0
dataset,/1am7,"(154, 256)",float32,39424,0
dataset,/1am9,"(82, 256)",float32,20992,0
dataset,/1amf,"(231, 256)",float32,59136,0
dataset,/1amm,"(174, 256)",float32,44544,0
dataset,/1amu,"(514, 256)",float32,131584,0
dataset,/1amx,"(150, 256)",float32,38400,0
dataset,/1an1_chain_id_A,"(233, 256)",float32,59648,0
dataset,/1an1_chain_id_B,"(40, 256)",float32,10240,0
dataset,/1an2,"(86, 256)",float32,22016,0
dataset,/1an4,"(65, 256)",float32,16640,0
dataset,/1an7,"(136, 256)",float32,34816,0
dataset,/1an8,"(206, 256)",float32,52736,0
dataset,/1ans,"(27, 256)",float32,6912,0
dataset,/1ao5,"(245, 256)",float32,62720,0
dataset,/1aoa,"(249, 256)",float32,63744,0
dataset,/1aoc,"(175, 256)",float32,44800,0
dataset,/1aoe,"(192, 256)",float32,49152,0
dataset,/1aog,"(485, 256)",float32,124160,0
dataset,/1aoh,"(147, 256)",float32,37632,0
dataset,/1aoi_chain_id_E,"(115, 256)",float32,29440,0
dataset,/1aoi_chain_id_F,"(99, 256)",float32,25344,0
dataset,/1aoi_chain_id_G,"(116, 256)",float32,29696,0
dataset,/1aoi_chain_id_H,"(87, 256)",float32,22272,0
dataset,/1aol,"(228, 256)",float32,58368,0
dataset,/1aon_chain_id_A,"(524, 256)",float32,134144,0
dataset,/1aon_chain_id_O,"(97, 256)",float32,24832,0
dataset,/1aop,"(465, 256)",float32,119040,0
dataset,/1aor,"(605, 256)",float32,154880,0
dataset,/1aoy,"(78, 256)",float32,19968,0
dataset,/1aoz,"(552, 256)",float32,141312,0
dataset,/1ap4,"(89, 256)",float32,22784,0
dataset,/1ap8,"(213, 256)",float32,54528,0
dataset,/1apa,"(261, 256)",float32,66816,0
dataset,/1apf,"(49, 256)",float32,12544,0
dataset,/1apj,"(74, 256)",float32,18944,0
dataset,/1apq,"(53, 256)",float32,13568,0
dataset,/1aps,"(98, 256)",float32,25088,0
dataset,/1apx,"(249, 256)",float32,63744,0
dataset,/1apy_chain_id_A,"(161, 256)",float32,41216,0
dataset,/1apy_chain_id_B,"(141, 256)",float32,36096,0
dataset,/1aq0,"(306, 256)",float32,78336,0
dataset,/1aqa,"(84, 256)",float32,21504,0
dataset,/1aqc,"(133, 256)",float32,34048,0
dataset,/1aqe,"(110, 256)",float32,28160,0
dataset,/1aqk_chain_id_A,"(215, 256)",float32,55040,0
dataset,/1aqk_chain_id_B,"(225, 256)",float32,57600,0
dataset,/1aqt,"(135, 256)",float32,34560,0
dataset,/1aqu,"(285, 256)",float32,72960,0
dataset,/1ar1_chain_id_A,"(529, 256)",float32,135424,0
dataset,/1ar1_chain_id_B,"(252, 256)",float32,64512,0
dataset,/1ar1_chain_id_C,"(118, 256)",float32,30208,0
dataset,/1ar1_chain_id_D,"(108, 256)",float32,27648,0
dataset,/1arb,"(263, 256)",float32,67328,0
dataset,/1ark,"(60, 256)",float32,15360,0
dataset,/1as4_chain_id_A,"(336, 256)",float32,86016,0
dataset,/1as4_chain_id_B,"(33, 256)",float32,8448,0
dataset,/1ash,"(147, 256)",float32,37632,0
dataset,/1ass,"(152, 256)",float32,38912,0
dataset,/1ast,"(200, 256)",float32,51200,0
dataset,/1asu,"(162, 256)",float32,41472,0
dataset,/1at0,"(145, 256)",float32,37120,0
dataset,/1at3,"(220, 256)",float32,56320,0
dataset,/1ata,"(62, 256)",float32,15872,0
dataset,/1atg,"(231, 256)",float32,59136,0
dataset,/1ati,"(437, 256)",float32,111872,0
dataset,/1atl,"(200, 256)",float32,51200,0
dataset,/1att,"(429, 256)",float32,109824,0
dataset,/1atx,"(46, 256)",float32,11776,0
dataset,/1atz,"(189, 256)",float32,48384,0
dataset,/1au1,"(166, 256)",float32,42496,0
dataset,/1au7,"(135, 256)",float32,34560,0
dataset,/1aua,"(296, 256)",float32,75776,0
dataset,/1aud,"(101, 256)",float32,25856,0
dataset,/1aug,"(210, 256)",float32,53760,0
dataset,/1aui_chain_id_A,"(393, 256)",float32,100608,0
dataset,/1aui_chain_id_B,"(165, 256)",float32,42240,0
dataset,/1auk,"(485, 256)",float32,124160,0
dataset,/1aun,"(208, 256)",float32,53248,0
dataset,/1auo,"(218, 256)",float32,55808,0
dataset,/1aut_chain_id_A,"(241, 256)",float32,61696,0
dataset,/1aut_chain_id_B,"(98, 256)",float32,25088,0
dataset,/1auu,"(55, 256)",float32,14080,0
dataset,/1auy,"(189, 256)",float32,48384,0
dataset,/1auz,"(116, 256)",float32,29696,0
dataset,/1ava_chain_id_A,"(403, 256)",float32,103168,0
dataset,/1ava_chain_id_C,"(181, 256)",float32,46336,0
dataset,/1avb,"(226, 256)",float32,57856,0
dataset,/1avc,"(648, 256)",float32,165888,0
dataset,/1avg_chain_id_A,"(41, 256)",float32,10496,0
dataset,/1avg_chain_id_B,"(260, 256)",float32,66560,0
dataset,/1avg_chain_id_C,"(142, 256)",float32,36352,0
dataset,/1avo_chain_id_A,"(60, 256)",float32,15360,0
dataset,/1avo_chain_id_B,"(140, 256)",float32,35840,0
dataset,/1avq,"(228, 256)",float32,58368,0
dataset,/1avs,"(82, 256)",float32,20992,0
dataset,/1avw_chain_id_A,"(233, 256)",float32,59648,0
dataset,/1avw_chain_id_B,"(177, 256)",float32,45312,0
dataset,/1aw1,"(255, 256)",float32,65280,0
dataset,/1aw6,"(43, 256)",float32,11008,0
dataset,/1aw9,"(216, 256)",float32,55296,0
dataset,/1awc_chain_id_C,"(110, 256)",float32,28160,0
dataset,/1awc_chain_id_D,"(153, 256)",float32,39168,0
dataset,/1awd,"(94, 256)",float32,24064,0
dataset,/1awj,"(77, 256)",float32,19712,0
dataset,/1aww,"(67, 256)",float32,17152,0
dataset,/1ax4,"(465, 256)",float32,119040,0
dataset,/1ax8,"(133, 256)",float32,34048,0
dataset,/1axd,"(210, 256)",float32,53760,0
dataset,/1axh,"(37, 256)",float32,9472,0
dataset,/1axi_chain_id_A,"(182, 256)",float32,46592,0
dataset,/1axi_chain_id_B,"(194, 256)",float32,49664,0
dataset,/1axn,"(323, 256)",float32,82688,0
dataset,/1axs_chain_id_A,"(211, 256)",float32,54016,0
dataset,/1axs_chain_id_B,"(221, 256)",float32,56576,0
dataset,/1axt_chain_id_A,"(216, 256)",float32,55296,0
dataset,/1axt_chain_id_B,"(234, 256)",float32,59904,0
dataset,/1axx,"(94, 256)",float32,24064,0
dataset,/1ay1_chain_id_A,"(211, 256)",float32,54016,0
dataset,/1ay1_chain_id_B,"(213, 256)",float32,54528,0
dataset,/1ay7_chain_id_A,"(96, 256)",float32,24576,0
dataset,/1ay7_chain_id_B,"(89, 256)",float32,22784,0
dataset,/1aya,"(101, 256)",float32,25856,0
dataset,/1aye,"(407, 256)",float32,104192,0
dataset,/1ayi,"(86, 256)",float32,22016,0
dataset,/1ayj,"(50, 256)",float32,12800,0
dataset,/1aym_chain_id_A,"(285, 256)",float32,72960,0
dataset,/1aym_chain_id_B,"(252, 256)",float32,64512,0
dataset,/1aym_chain_id_C,"(238, 256)",float32,60928,0
dataset,/1ayo,"(130, 256)",float32,33280,0
dataset,/1ayr,"(368, 256)",float32,94208,0
dataset,/1ayz,"(153, 256)",float32,39168,0
dataset,/1az3,"(230, 256)",float32,58880,0
dataset,/1az5,"(99, 256)",float32,25344,0
dataset,/1azc,"(129, 256)",float32,33024,0
dataset,/1azo,"(221, 256)",float32,56576,0
dataset,/1azp,"(66, 256)",float32,16896,0
dataset,/1azs_chain_id_A,"(190, 256)",float32,48640,0
dataset,/1azs_chain_id_B,"(192, 256)",float32,49152,0
dataset,/1azs_chain_id_C,"(342, 256)",float32,87552,0
dataset,/1azt,"(341, 256)",float32,87296,0
dataset,/1azw,"(313, 256)",float32,80128,0
dataset,/1b04,"(313, 256)",float32,80128,0
dataset,/1b06,"(208, 256)",float32,53248,0
dataset,/1b09,"(206, 256)",float32,52736,0
dataset,/1b0a,"(287, 256)",float32,73472,0
dataset,/1b0b,"(141, 256)",float32,36096,0
dataset,/1b0n_chain_id_A,"(108, 256)",float32,27648,0
dataset,/1b0n_chain_id_B,"(31, 256)",float32,7936,0
dataset,/1b0u,"(258, 256)",float32,66048,0
dataset,/1b0w,"(108, 256)",float32,27648,0
dataset,/1b0x,"(72, 256)",float32,18432,0
dataset,/1b0y,"(85, 256)",float32,21760,0
dataset,/1b10,"(104, 256)",float32,26624,0
dataset,/1b12,"(239, 256)",float32,61184,0
dataset,/1b1c,"(166, 256)",float32,42496,0
dataset,/1b1x,"(689, 256)",float32,176384,0
dataset,/1b1y,"(500, 256)",float32,128000,0
dataset,/1b22,"(70, 256)",float32,17920,0
dataset,/1b24,"(173, 256)",float32,44288,0
dataset,/1b25,"(615, 256)",float32,157440,0
dataset,/1b26,"(409, 256)",float32,104704,0
dataset,/1b28,"(53, 256)",float32,13568,0
dataset,/1b2p,"(119, 256)",float32,30464,0
dataset,/1b2t,"(77, 256)",float32,19712,0
dataset,/1b2w_chain_id_A,"(214, 256)",float32,54784,0
dataset,/1b2w_chain_id_B,"(219, 256)",float32,56064,0
dataset,/1b33_chain_id_A,"(160, 256)",float32,40960,0
dataset,/1b33_chain_id_B,"(161, 256)",float32,41216,0
dataset,/1b33_chain_id_G,"(67, 256)",float32,17152,0
dataset,/1b34_chain_id_A,"(80, 256)",float32,20480,0
dataset,/1b34_chain_id_B,"(74, 256)",float32,18944,0
dataset,/1b35_chain_id_A,"(260, 256)",float32,66560,0
dataset,/1b35_chain_id_B,"(255, 256)",float32,65280,0
dataset,/1b35_chain_id_C,"(282, 256)",float32,72192,0
dataset,/1b35_chain_id_D,"(57, 256)",float32,14592,0
dataset,/1b3a,"(67, 256)",float32,17152,0
dataset,/1b3q,"(373, 256)",float32,95488,0
dataset,/1b3t,"(147, 256)",float32,37632,0
dataset,/1b3u,"(588, 256)",float32,150528,0
dataset,/1b43,"(339, 256)",float32,86784,0
dataset,/1b48,"(221, 256)",float32,56576,0
dataset,/1b4a,"(146, 256)",float32,37376,0
dataset,/1b4b,"(71, 256)",float32,18176,0
dataset,/1b4f,"(77, 256)",float32,19712,0
dataset,/1b4j_chain_id_A,"(214, 256)",float32,54784,0
dataset,/1b4j_chain_id_B,"(219, 256)",float32,56064,0
dataset,/1b4p,"(217, 256)",float32,55552,0
dataset,/1b4r,"(80, 256)",float32,20480,0
dataset,/1b4u_chain_id_A,"(132, 256)",float32,33792,0
dataset,/1b4u_chain_id_B,"(298, 256)",float32,76288,0
dataset,/1b50,"(69, 256)",float32,17664,0
dataset,/1b56,"(133, 256)",float32,34048,0
dataset,/1b5e,"(241, 256)",float32,61696,0
dataset,/1b5f_chain_id_A,"(243, 256)",float32,62208,0
dataset,/1b5f_chain_id_B,"(88, 256)",float32,22528,0
dataset,/1b5l,"(157, 256)",float32,40192,0
dataset,/1b5p,"(382, 256)",float32,97792,0
dataset,/1b5q,"(462, 256)",float32,118272,0
dataset,/1b5s,"(242, 256)",float32,61952,0
dataset,/1b5t,"(275, 256)",float32,70400,0
dataset,/1b63,"(334, 256)",float32,85504,0
dataset,/1b64,"(91, 256)",float32,23296,0
dataset,/1b65,"(367, 256)",float32,93952,0
dataset,/1b66,"(138, 256)",float32,35328,0
dataset,/1b6a,"(360, 256)",float32,92160,0
dataset,/1b6d,"(212, 256)",float32,54272,0
dataset,/1b6g,"(310, 256)",float32,79360,0
dataset,/1b6v,"(124, 256)",float32,31744,0
dataset,/1b74,"(252, 256)",float32,64512,0
dataset,/1b76,"(444, 256)",float32,113664,0
dataset,/1b77,"(228, 256)",float32,58368,0
dataset,/1b78,"(184, 256)",float32,47104,0
dataset,/1b79,"(103, 256)",float32,26368,0
dataset,/1b7b,"(307, 256)",float32,78592,0
dataset,/1b7e,"(377, 256)",float32,96512,0
dataset,/1b7f,"(167, 256)",float32,42752,0
dataset,/1b7g,"(340, 256)",float32,87040,0
dataset,/1b7y_chain_id_A,"(265, 256)",float32,67840,0
dataset,/1b7y_chain_id_B,"(775, 256)",float32,198400,0
dataset,/1b80,"(349, 256)",float32,89344,0
dataset,/1b88,"(114, 256)",float32,29184,0
dataset,/1b89,"(326, 256)",float32,83456,0
dataset,/1b8a,"(438, 256)",float32,112128,0
dataset,/1b8d_chain_id_A,"(164, 256)",float32,41984,0
dataset,/1b8d_chain_id_B,"(177, 256)",float32,45312,0
dataset,/1b8i_chain_id_C,"(66, 256)",float32,16896,0
dataset,/1b8i_chain_id_D,"(58, 256)",float32,14848,0
dataset,/1b8l,"(108, 256)",float32,27648,0
dataset,/1b8m_chain_id_A,"(109, 256)",float32,27904,0
dataset,/1b8m_chain_id_B,"(119, 256)",float32,30464,0
dataset,/1b8p,"(327, 256)",float32,83712,0
dataset,/1b8q,"(127, 256)",float32,32512,0
dataset,/1b8t,"(192, 256)",float32,49152,0
dataset,/1b8w,"(42, 256)",float32,10752,0
dataset,/1b8x,"(260, 256)",float32,66560,0
dataset,/1b8z,"(67, 256)",float32,17152,0
dataset,/1b93,"(151, 256)",float32,38656,0
dataset,/1b9b,"(255, 256)",float32,65280,0
dataset,/1b9g,"(57, 256)",float32,14592,0
dataset,/1b9h,"(384, 256)",float32,98304,0
dataset,/1b9l,"(119, 256)",float32,30464,0
dataset,/1b9m,"(264, 256)",float32,67584,0
dataset,/1b9o,"(123, 256)",float32,31488,0
dataset,/1b9r,"(105, 256)",float32,26880,0
dataset,/1b9w,"(91, 256)",float32,23296,0
dataset,/1baf_chain_id_A,"(214, 256)",float32,54784,0
dataset,/1baf_chain_id_B,"(217, 256)",float32,55552,0
dataset,/1bah,"(36, 256)",float32,9216,0
dataset,/1bai,"(124, 256)",float32,31744,0
dataset,/1bak,"(119, 256)",float32,30464,0
dataset,/1bal,"(51, 256)",float32,13056,0
dataset,/1bam,"(200, 256)",float32,51200,0
dataset,/1bar,"(138, 256)",float32,35328,0
dataset,/1baz,"(49, 256)",float32,12544,0
dataset,/1bb8,"(71, 256)",float32,18176,0
dataset,/1bb9,"(83, 256)",float32,21248,0
